cultivar,orchard_id,year,month,Pr[DCA>CA],Pr[DCA>RA],DCA-CA_mean,DCA-CA_p10,DCA-CA_median,DCA-CA_p90,DCA-RA_mean,DCA-RA_p10,DCA-RA_median,DCA-RA_p90,p_star,adoption_index,cvar10,omega,G_pos_mean,L_neg_mean
Gala,GA_O1,2022,September,0.0284,0.0,-2289.161252105574,-3845.710720994917,-2287.6762201787787,-722.9391798727098,-6619.183059427902,-8005.698815659515,-6616.354988627718,-5258.3068156945055,0.8701601464793365,-0.8417601464793365,-4359.0017593045095,0.004361538015268097,353.0986384918645,2366.39486768088
Gala,GA_O1,2022,October,0.0242,0.0,-2248.1739204095334,-3791.194898806652,-2239.7308386726654,-715.1693917331866,-6579.9287533968645,-7937.044791528862,-6567.402447640721,-5225.371006987058,0.8598421264772574,-0.8356421264772574,-4303.685871342574,0.004042530759704337,377.0744269705788,2313.28050988135
Gala,GA_O1,2022,November,0.0264,0.0,-2272.3906413188374,-3843.054607159458,-2263.5201023702975,-719.0580122854211,-6613.370468449187,-7974.797215551383,-6605.692988836614,-5248.955243847333,0.8675375084506826,-0.8411375084506826,-4347.937869054049,0.004140263867311801,357.8565015806724,2343.7120511098683
Gala,GA_O1,2022,December,0.3971,0.1909,6005.378842624038,-3363.7307083550722,-969.2199468433391,22954.53036851053,-1022.0009469445683,-7726.672514956258,-5788.622777750599,10624.680253705217,0.1058551285317105,0.2912448714682895,-4025.4027235215976,5.563531986595613,18436.989692850613,2182.699891204082
Gala,GA_O1,2022,January,0.3986,0.1909,6281.508110529115,-3330.719144220685,-947.7070208045188,24066.017049753707,-1119.4105072057973,-7698.47542926874,-5795.1783434046665,9777.117638217636,0.10197570278065077,0.29662429721934924,-3995.021752774857,5.836671497634014,19017.1437718204,2159.503486728461
Gala,GA_O1,2022,February,0.4009,0.1929,5919.647667824915,-3324.7311204639027,-906.3853124139132,22260.536726958613,-916.5600502308059,-7742.783483264607,-5802.643695505394,10538.447972876731,0.1067298035414092,0.29417019645859077,-4005.3131510992916,5.60059116346436,17975.460800795136,2147.745897536058
Gala,GA_O1,2022,March,0.294,0.1766,-26643.414826734603,-134919.8783828863,-2584.8830670741154,45371.78108706793,-41253.415864107075,-145011.82847067786,-7153.181465915637,14692.352516659892,0.524518782432703,-0.23051878243270302,-320667.3876161889,0.3774982573119474,54956.23041330582,60624.003637742935
Gala,GA_O1,2022,April,0.2805,0.1762,-26889.011653147358,-128922.25100323267,-2660.7195241449517,39497.830962709515,-39567.72840466922,-137319.05087103602,-7101.7947084034095,14393.248931047976,0.5344704535025337,-0.2539704535025337,-300081.68348010496,0.3395671080426058,49287.738900422475,56586.8275395634
Gala,GA_O1,2022,May,0.2888,0.1722,-26052.232898322553,-130707.71496321644,-2691.5100721906056,43161.336915598215,-40392.6987757173,-141164.62446245181,-7144.579206282273,14380.865312022337,0.5217252401635704,-0.23292524016357036,-306425.14455320156,0.3722554421464938,53494.097178553566,58353.948486345376
Gala,GA_O1,2022,June,0.4842,0.4456,31360.100958327464,-417137.92095215054,-706.0457055856241,525146.5919280241,105960.31530783381,-365312.5401699916,-5381.8079958671005,820415.8334832884,0.41679760591567544,0.06740239408432458,-675620.6967218185,1.3135225401473445,271344.7527507949,193922.1177270404
Gala,GA_O1,2022,July,0.4787,0.4423,24471.168683650416,-388482.650377993,-843.1393680074252,480148.44976824726,92839.5856733091,-357344.7497250461,-5342.209567975253,744255.2016982547,0.4213387519676227,0.0573612480323773,-623707.2220658936,1.2611556718767405,246865.56685968797,179749.4306005797
Gala,GA_O1,2022,August,0.4883,0.4337,25694.995909309466,-339201.7822729762,-487.0060142155853,419690.2285754128,72007.44356810235,-316810.0440056615,-5560.641206354776,637432.3803320535,0.4190502743290566,0.0692497256709434,-538080.3186419692,1.322950908819415,215560.43262266362,155487.90959612507
