cultivar,orchard_id,year,month,Pr[DCA>CA],Pr[DCA>RA],DCA-CA_mean,DCA-CA_p10,DCA-CA_median,DCA-CA_p90,DCA-RA_mean,DCA-RA_p10,DCA-RA_median,DCA-RA_p90,p_star,adoption_index,cvar10,omega,G_pos_mean,L_neg_mean
Honeycrisp,HC_O1,2022,September,0.0263,0.0,-2203.923660877047,-3705.520787735423,-2204.6418281816877,-696.2618205274455,-6498.598824306716,-7819.8397919125855,-6494.250384854851,-5181.34999805796,0.8583554074801977,-0.8320554074801977,-4192.587198727613,0.004457213429772912,375.18399145445136,2273.586320070144
Honeycrisp,HC_O1,2022,October,0.024,0.0,-2207.365394780375,-3718.176836816873,-2203.7289145819377,-705.4811390337534,-6502.72978164651,-7829.323570359638,-6492.39212424634,-5183.207124166889,0.8679550213049666,-0.8439550213049666,-4221.115263036813,0.0037409861031126104,345.3638039563297,2270.137424257507
Honeycrisp,HC_O1,2022,November,0.0249,0.0,-2198.8188495271756,-3728.772269346565,-2179.8628702179994,-680.8944301629433,-6499.019151768921,-7804.852499759477,-6499.730389927514,-5181.002286941791,0.8715828569705133,-0.8466828569705133,-4225.148932781505,0.0037623960930515273,333.49681332392475,2263.48366339754
Honeycrisp,HC_O1,2022,December,0.0662,0.0149,-768916.6516216791,-1486136.4353799096,-749417.2640781576,-80458.4765253429,-1023362.0817310165,-1753624.1531438632,-1012111.3432740262,-330052.89486211276,0.8572174282418678,-0.7910174282418677,-1715749.8867770354,0.011808325816611344,138793.2718880949,833267.0445712903
Honeycrisp,HC_O1,2022,January,0.0632,0.0127,-781338.8341060226,-1525735.973276795,-748074.8795700419,-91415.19890359508,-1041084.4119253752,-1790764.5811677177,-1011915.2665424437,-355900.4092362671,0.8617714563297876,-0.7985714563297875,-1752408.670169845,0.010821209956332659,135245.66686597775,843175.0216182243
Honeycrisp,HC_O1,2022,February,0.069,0.0141,-788569.0272033552,-1544777.1122219004,-765648.3533126456,-82025.71607512192,-1051413.7042339507,-1808240.615565547,-1026282.6849117429,-348971.20029240346,0.8549542016742575,-0.7859542016742576,-1779555.7965360656,0.01257365996849714,145528.35755825575,857798.5863317669
Honeycrisp,HC_O1,2022,March,0.0146,0.4146,-474966.9108281767,-1755778.483991822,-75910.73477329267,-1903.5691168892188,-260998.88388073727,-1555321.4286910687,-9172.971938440343,469567.34295460343,0.9981511212377565,-0.9835511212377566,-2278995.966887405,2.744431735590895e-05,892.8424921050438,482017.40037402214
Honeycrisp,HC_O1,2022,April,0.0145,0.4106,-467287.3639946045,-1691215.2594230643,-73599.42282532668,-1915.0650494584347,-264279.67393613316,-1504173.9985667516,-9804.168924520956,446495.79765411257,0.998281362705183,-0.983781362705183,-2224323.5897177043,2.53304346666948e-05,816.3373708864642,474174.7345372728
Honeycrisp,HC_O1,2022,May,0.0159,0.4111,-486186.36400917347,-1759954.0681073081,-73939.1776411722,-1844.0584116326643,-269977.7246159567,-1583137.5384090005,-9762.043395389104,473289.1668115306,0.9975683808425782,-0.9816683808425781,-2310029.498904088,3.938317938692912e-05,1204.296786850989,494061.08355663484
Honeycrisp,HC_O1,2022,June,0.0278,0.0705,-1111975.8798838574,-2011725.4592619408,-1080213.958781091,-294309.60556726943,-1003981.9537497867,-1962401.9250605672,-994895.4520326353,-150956.37284719024,0.7394415039156909,-0.7116415039156908,-2274579.6731807617,0.010076056514999791,407135.8420642221,1155414.7873824756
Honeycrisp,HC_O1,2022,July,0.0274,0.0693,-1166772.3743974774,-2106269.8144224617,-1144143.8012210296,-306694.0059072438,-1053220.6242635709,-2046551.0563280026,-1055611.9808098238,-153450.76300851928,0.7622548345084541,-0.7348548345084541,-2362944.8531652326,0.008786740580170867,377482.025314077,1210276.970893567
Honeycrisp,HC_O1,2022,August,0.0265,0.0693,-1069124.462339978,-1931236.4855517219,-1035352.4554116543,-279643.2989952841,-966396.6605448818,-1890516.7233589818,-955601.9770005876,-132512.36613038575,0.7636751464539695,-0.7371751464539695,-2184500.527581783,0.008423850653583474,342741.72589831136,1107557.3888816468
Honeycrisp,HC_O1,2023,September,0.0281,0.0,-2199.497069630166,-3717.9909569375213,-2191.7033193169627,-690.8286337124179,-6504.59658355411,-7866.653753770935,-6503.298707403941,-5149.926451231819,0.856203095162379,-0.828103095162379,-4224.970145120865,0.004855763010301688,381.93417300320203,2274.1325443888836
Honeycrisp,HC_O1,2023,October,0.0262,0.0,-2225.1114839308498,-3711.639561096998,-2229.2868907458615,-706.4408756625371,-6516.405302620933,-7841.66939626378,-6509.412971069571,-5180.170456468686,0.8615808385601831,-0.8353808385601831,-4222.790098269438,0.004322467168613778,368.69180079191597,2294.8975242468655
Honeycrisp,HC_O1,2023,November,0.0248,0.0,-2226.1909172355363,-3737.177271196805,-2213.7481569389347,-713.7376489744987,-6523.358750012285,-7839.814611009555,-6527.10193869099,-5192.641388895456,0.8703823488295362,-0.8455823488295362,-4226.1989587098915,0.003787146107153978,341.24841672547853,2291.482647631591
Honeycrisp,HC_O1,2023,December,0.034,0.0006,-49799.48514460532,-145578.44578289203,-3951.2272180290893,-971.577933626482,-54093.916517176294,-149560.6735596436,-8082.9938408497255,-5358.070040907477,0.980594900224713,-0.9465949002247129,-349286.791279302,0.0006965110975282161,1020.8844118636019,51588.19380394273
Honeycrisp,HC_O1,2023,January,0.0359,0.0009,-48754.03079400109,-144211.7401142936,-3890.865804502042,-973.3534089517312,-53045.35979972965,-148501.7075283503,-8092.165625999216,-5334.896264666784,0.9812312871672899,-0.9453312871672899,-341010.5593635677,0.0007122549361734919,967.9679661843041,50605.51897519667
Honeycrisp,HC_O1,2023,February,0.0343,0.0007,-50792.920789358235,-148473.03455761194,-3924.8129623974673,-935.6904186579397,-55092.660450235846,-151940.0547687116,-8072.85263032862,-5384.130824008724,0.9773070743644915,-0.9430070743644915,-358722.68085006473,0.0008247291332281318,1222.3025739864845,52640.41189566735
Honeycrisp,HC_O1,2023,March,0.2413,0.1626,-20782.35663841225,-70671.11684715924,-2556.552396272775,14092.757231889205,-24962.947336276517,-74315.70583531781,-6794.243010119768,10050.44908091184,0.6046966879054769,-0.36339668790547697,-203198.04935806172,0.20791226092032164,22607.070140470987,34582.10447252919
Honeycrisp,HC_O1,2023,April,0.2445,0.1604,-19658.02694100477,-67562.19701184446,-2453.7771627465263,14776.097017253205,-24102.49738030217,-73632.6106795744,-6788.380850276211,9214.570939967529,0.5953217904972882,-0.3508217904972882,-195603.63147089045,0.2199897444913289,22675.82961014326,33358.39481228961
Honeycrisp,HC_O1,2023,May,0.2475,0.1656,-19193.49475584647,-65564.66463103345,-2454.6987298903987,15434.613976986207,-23391.631101558338,-71246.17913878364,-6741.543566502165,11258.78250932121,0.5824000986701328,-0.33490009867013276,-194565.16585428469,0.23583466756550767,23933.111838559245,33377.99327028556
Honeycrisp,HC_O1,2023,June,0.0388,0.1949,-29114.056524781518,-80159.88243945106,-3268.1988768812735,-782.874202186428,-20492.79193500389,-75896.62548733558,-6718.601278651971,21594.267116478,0.9656687714490558,-0.9268687714490558,-211272.89164861315,0.0014350899445485293,1078.384944434736,30332.810924496036
Honeycrisp,HC_O1,2023,July,0.0412,0.2047,-30057.346707204575,-80849.1530898528,-3238.365071843844,-778.8879444373767,-20508.678230506546,-77725.42866317865,-6702.8213310893625,25497.9221931296,0.9692023080408994,-0.9280023080408993,-220278.54817781085,0.001365440945173646,997.5157356565271,31391.785936080127
Honeycrisp,HC_O1,2023,August,0.0415,0.1931,-27711.633687534755,-77601.99620696393,-3231.4668602913152,-779.2092123013454,-19574.945459347608,-73507.1167205432,-6683.805415957235,21132.99035237516,0.9675232898299865,-0.9260232898299865,-200440.35498983014,0.0014533378394654712,971.8791152357348,28953.53851937093
Honeycrisp,HC_O1,2024,September,0.0269,0.0,-2222.073280287778,-3718.7282940218224,-2218.493167316541,-725.4645740581675,-6521.009034918353,-7838.513001999352,-6530.337255317718,-5183.017861121846,0.8680738835144067,-0.8411738835144067,-4217.805710273439,0.0042011568412521376,348.50047553782474,2293.1332268828955
Honeycrisp,HC_O1,2024,October,0.0272,0.0,-2233.436899138547,-3747.9787108232267,-2240.178250644589,-698.9280135903042,-6510.021446874867,-7832.878933543339,-6515.291066479869,-5194.310348217003,0.8668539251342157,-0.8396539251342157,-4260.423850510904,0.004294650139067463,354.16181319365825,2305.7875210294146
Honeycrisp,HC_O1,2024,November,0.0262,0.0,-2212.7897349528953,-3729.279366588732,-2221.42757508019,-688.7384596688667,-6523.645657776521,-7843.490426948201,-6522.206561392872,-5210.235911642713,0.8614942076569232,-0.8352942076569232,-4238.1657517961075,0.004325607358931602,366.9176593334627,2282.196526625007
Honeycrisp,HC_O1,2024,December,0.6558,0.2033,70233.89909603607,-2922.9918725342955,8325.091952795396,222718.37417901377,607.7397159204622,-7871.8186245634215,-5842.386192569509,14974.700411876245,0.020616176333597237,0.6351838236664028,-3944.550573953743,90.51183147002877,108292.97297061261,2279.583318104804
Honeycrisp,HC_O1,2024,January,0.6446,0.1995,68057.60201613852,-2892.080839383695,7547.688683219021,216604.27768680287,609.6434165236833,-7860.091323868325,-5854.863547721412,14876.153580977025,0.020642747213781867,0.623957252786218,-3915.869135071806,86.04913862588828,106822.55209649744,2251.5899416536918
Honeycrisp,HC_O1,2024,February,0.6562,0.2105,69577.27718512474,-2887.692121427506,8144.0111014186405,220240.60329902184,822.8908405330291,-7873.199482865399,-5829.342081566807,15504.727376801993,0.02059082508083039,0.6356091749191696,-3902.842628211312,90.78639526914564,107211.51665199189,2253.9849968363733
Honeycrisp,HC_O1,2024,March,1.0,1.0,187551.94548153895,101076.84698332482,179528.75146698533,285028.34170821554,484257.49551510526,319886.35856119375,473413.07927256846,666203.9309486101,0.0,1.0,80370.54989470929,inf,187551.94548153895,
Honeycrisp,HC_O1,2024,April,1.0,1.0,181821.52468437873,97931.97592238644,173478.76028550137,274776.4566683654,470265.07152041275,308855.49935493746,458478.72816549614,647584.381134119,0.0,1.0,77854.07441230964,inf,181821.52468437873,
Honeycrisp,HC_O1,2024,May,1.0,1.0,190660.64749639248,102698.31272393255,181278.15003772103,292110.02514097,489945.0600412113,318259.85852269776,480125.4653996513,669975.9595407461,0.0,1.0,81774.25449333811,inf,190660.64749639248,
Honeycrisp,HC_O1,2024,June,0.3399,0.9999,-1394.4119715498143,-73099.66430766828,-2187.058105951175,74889.3864464575,1392029.9523465387,997937.9398123297,1395029.068312399,1787081.9721692821,0.3526381665057964,-0.0127381665057964,-191573.92283158947,0.9452772550541563,70864.91530299863,38602.327954914486
Honeycrisp,HC_O1,2024,July,0.3374,1.0,-1457.7412436555517,-80463.5126227138,-2259.7491750465706,78212.08358093465,1443153.780965591,1028628.0668814734,1441853.6720643374,1855857.0423387869,0.3496461696956158,-0.012246169695615816,-208719.2905496363,0.9471408632125121,77415.84715615005,41620.65812577812
Honeycrisp,HC_O1,2024,August,0.3447,1.0,671.3487897728669,-72655.6324890559,-2149.4098984941375,76847.35255881988,1342420.893174539,958166.515889961,1343567.742775874,1727252.742743643,0.3388570567069253,0.0058429432930747205,-193607.20461968044,1.0263132789160554,75964.7137723823,38934.36295981582
Honeycrisp,HC_O2,2022,September,0.0268,0.0,-2211.39433320795,-3724.4168474921958,-2203.6701142853126,-703.4436056015546,-6507.108519816426,-7839.633430418233,-6513.498445873847,-5167.594963690639,0.8675818098593968,-0.8407818098593968,-4216.374300067516,0.004203101750454907,348.28160154838775,2281.8827374942935
Honeycrisp,HC_O2,2022,October,0.0276,0.0,-2204.8033140522853,-3727.9416911997364,-2211.6204394437373,-682.1744978481901,-6494.903818209172,-7816.067276887503,-6495.512610258069,-5152.894831806375,0.8447532346160208,-0.8171532346160209,-4232.0508155814505,0.005216231155717993,418.8793096748076,2279.272298436148
Honeycrisp,HC_O2,2022,November,0.0272,0.0,-2223.7517495518664,-3719.3725593164563,-2228.543136832537,-709.70517479619,-6518.642426991063,-7865.9613643856255,-6519.744514816208,-5190.599336403515,0.8721322670584456,-0.8449322670584456,-4201.995200464184,0.0040994345088404775,336.53122969245476,2295.338609168895
