cultivar,orchard_id,year,month,technology,net_revenue_p10,net_revenue_median,net_revenue_p90,net_revenue_mean
Gala,GA_O1,2024,September,RA,700370.7683902542,733468.9626418371,765591.8631724194,733185.5031435635
Gala,GA_O1,2024,September,CA,696054.8863380187,729052.514935419,761187.9349117707,728834.3713331695
Gala,GA_O1,2024,September,DCA,693822.9775957034,726830.6636967317,758916.6748121949,726577.463796399
Gala,GA_O1,2024,October,RA,751765.3866259722,784090.8254449281,815505.9681205871,783954.3192585325
Gala,GA_O1,2024,October,CA,747622.3919208745,779768.6327999104,811183.7011491708,779609.9277693025
Gala,GA_O1,2024,October,DCA,745199.4340970764,777585.3057721297,808953.32834372,777338.555712561
Gala,GA_O1,2024,November,RA,874293.5176054218,918254.811224689,960782.219985542,917871.8475203869
Gala,GA_O1,2024,November,CA,869738.4979244363,913878.6672891057,956224.35300999,913526.2333796341
Gala,GA_O1,2024,November,DCA,867709.722279723,911591.5455858218,954223.7270588558,911266.6245033385
Gala,GA_O1,2024,December,RA,899186.5062873748,943662.4385600509,985633.6258192101,943024.7310180725
Gala,GA_O1,2024,December,CA,894951.3496438063,939425.541376208,981284.0464529467,938689.6465741661
Gala,GA_O1,2024,December,DCA,892719.8243157924,937186.6812482075,979139.9440667395,936448.7115446279
Gala,GA_O1,2024,January,RA,947767.8994466158,1002613.4148180038,1056526.4779235495,1002380.3571493601
Gala,GA_O1,2024,January,CA,943502.0934547037,998334.2132057475,1052181.52295347,998049.3983296207
Gala,GA_O1,2024,January,DCA,941072.2417954269,996070.1193546152,1049933.6796607634,995777.2410247888
Gala,GA_O1,2024,February,RA,956673.880665235,1010443.0556716777,1063759.793394246,1010386.8027202399
Gala,GA_O1,2024,February,CA,952332.8144132292,1006125.0038052369,1059239.7012797855,1006044.3375668305
Gala,GA_O1,2024,February,DCA,949886.8815518807,1003833.6707790894,1057053.877337961,1003769.6242460258
Gala,GA_O1,2024,March,RA,732389.0379236575,1017232.3984438165,1085740.7657743704,958386.8094135036
Gala,GA_O1,2024,March,CA,609058.5792348763,1009112.9332932748,1079778.2250141562,925713.973326646
Gala,GA_O1,2024,March,DCA,984059.3322094111,1037684.6842667145,1092195.5423633156,1037976.355701944
Gala,GA_O1,2024,April,RA,707709.119983702,966992.9923126383,1035195.7923879741,915284.9306084372
Gala,GA_O1,2024,April,CA,562383.1855081432,957458.0842741907,1030149.9693215168,878628.9942307043
Gala,GA_O1,2024,April,DCA,931846.8793552537,986993.1371011588,1041932.4841439744,986955.9738371654
Gala,GA_O1,2024,May,RA,713163.3331032598,976419.2698917219,1042181.7329219232,922851.754384267
Gala,GA_O1,2024,May,CA,539944.6583898686,966839.2901257807,1036850.8115405543,880433.4319360475
Gala,GA_O1,2024,May,DCA,941040.1796635101,995199.3284942186,1049516.1473952297,995637.2241451103
Gala,GA_O1,2024,June,RA,201900.4331698116,575171.9204360894,871962.9670519555,553437.4311167198
Gala,GA_O1,2024,June,CA,331869.2085402638,743160.8889876297,939439.1901598802,684302.1983457794
Gala,GA_O1,2024,June,DCA,865928.2111583231,941190.0347365316,999246.82914897,932626.066544332
Gala,GA_O1,2024,July,RA,178333.04155691867,513266.5412337841,786828.870465956,497364.1697539293
Gala,GA_O1,2024,July,CA,297814.11552015203,670364.6790597248,856209.328013353,620884.2776463736
Gala,GA_O1,2024,July,DCA,764859.9421268633,847916.6718113375,916651.4668490251,841912.5644614466
Gala,GA_O1,2024,August,RA,160505.58103848653,453874.47731211456,690625.1801663418,438432.52573026647
Gala,GA_O1,2024,August,CA,260404.08080396397,586631.0416978593,749101.051171255,541751.0740164432
Gala,GA_O1,2024,August,DCA,660564.8208924955,739816.0280478271,809457.3700127057,735391.3210927082
