cultivar,orchard_id,year,month,technology,net_revenue_p10,net_revenue_median,net_revenue_p90,net_revenue_mean
Honeycrisp,HC_O2,2024,September,RA,2420834.2807094743,2502473.413999021,2583807.6735469014,2502508.8101872737
Honeycrisp,HC_O2,2024,September,CA,2416316.085431303,2498378.340002768,2579185.6806914946,2498205.7276456086
Honeycrisp,HC_O2,2024,September,DCA,2414026.9713558326,2496206.621400423,2577392.8915688545,2496003.9006945794
Honeycrisp,HC_O2,2024,October,RA,2476507.020804647,2558842.362673276,2639807.9679960194,2558313.729440905
Honeycrisp,HC_O2,2024,October,CA,2472324.2208327474,2554646.8437559484,2635726.9871450434,2554013.783887777
Honeycrisp,HC_O2,2024,October,DCA,2470245.7803999176,2552508.91867861,2633699.1711399774,2551798.564825406
Honeycrisp,HC_O2,2024,November,RA,2665112.024065358,2756549.1087893383,2846452.5578294317,2756329.636861102
Honeycrisp,HC_O2,2024,November,CA,2660883.4105832023,2752172.846790035,2842349.02290247,2752024.2250245507
Honeycrisp,HC_O2,2024,November,DCA,2658401.369602139,2750182.770903917,2840014.3992133574,2749828.6706784493
Honeycrisp,HC_O2,2024,December,RA,1768235.5410173067,2060203.0612897463,2308367.6062326,2046637.4226295848
Honeycrisp,HC_O2,2024,December,CA,1781923.9396090736,2145880.45221154,2419136.0037390697,2119334.3229966788
Honeycrisp,HC_O2,2024,December,DCA,1515960.879944003,1833996.1150703537,2117651.458205796,1824621.9020231522
Honeycrisp,HC_O2,2024,January,RA,1798065.1928116959,2094603.060987426,2346381.3172308477,2081855.3677491073
Honeycrisp,HC_O2,2024,January,CA,1804021.0083949175,2170907.351587002,2462529.917061814,2149113.3632039926
Honeycrisp,HC_O2,2024,January,DCA,1535051.5200137652,1860535.6884663287,2153193.790858453,1850393.9025764973
Honeycrisp,HC_O2,2024,February,RA,1836395.3943348206,2117221.2805250376,2375239.3078559325,2109888.9388386062
Honeycrisp,HC_O2,2024,February,CA,1825280.0013700912,2208135.5284541245,2494627.1720463117,2179472.086104079
Honeycrisp,HC_O2,2024,February,DCA,1556278.2772774827,1886449.3994583304,2180464.1159706376,1875959.5860848862
Honeycrisp,HC_O2,2024,March,RA,1133412.0099631643,1833227.886958928,2417591.5347065893,1799730.7694782517
Honeycrisp,HC_O2,2024,March,CA,2088254.7545983817,2189687.8310500896,2294177.5191863724,2190776.2669840683
Honeycrisp,HC_O2,2024,March,DCA,535154.3398281368,955521.3804430161,1457961.0806243904,978905.8449031858
Honeycrisp,HC_O2,2024,April,RA,1102936.4953905796,1775447.55108125,2348654.1500556353,1749236.1374669948
Honeycrisp,HC_O2,2024,April,CA,2026212.1093019976,2129765.346725529,2232544.137213302,2129767.2607584666
Honeycrisp,HC_O2,2024,April,DCA,533229.2116787675,935877.6702836625,1417652.279552946,958216.8219165211
Honeycrisp,HC_O2,2024,May,RA,1131751.4288493954,1852879.3326575975,2438750.9263184704,1815861.1257210022
Honeycrisp,HC_O2,2024,May,CA,2111499.3566614664,2221830.668781028,2334272.0129321855,2221814.4158184687
Honeycrisp,HC_O2,2024,May,DCA,549272.1241063894,982955.1715005058,1483661.166368913,1000473.8272229008
Honeycrisp,HC_O2,2024,June,RA,403001.0938937167,640684.2120714183,932086.7497373783,655506.8340093023
Honeycrisp,HC_O2,2024,June,CA,2433350.3432442104,2549262.538102799,2670557.658352869,2549938.1030079923
Honeycrisp,HC_O2,2024,June,DCA,1955272.8297259035,2230467.813227377,2483435.0322912284,2224287.543914009
Honeycrisp,HC_O2,2024,July,RA,415505.3262610088,662650.0151178892,961497.6649137087,676581.0438747472
Honeycrisp,HC_O2,2024,July,CA,2496008.449421979,2642102.4111519055,2787661.8381363945,2641216.433538904
Honeycrisp,HC_O2,2024,July,DCA,2016110.143728275,2309716.8118157303,2574671.7430770965,2300185.073011929
Honeycrisp,HC_O2,2024,August,RA,381159.06796530593,610931.722195605,897138.5886552039,626941.0406221471
Honeycrisp,HC_O2,2024,August,CA,2332062.789859321,2451110.2620791895,2570124.861494918,2450973.587806673
Honeycrisp,HC_O2,2024,August,DCA,1884173.2429874633,2145565.203740784,2383026.310549114,2136959.865295637
