cultivar,interval_months,technology,clean_fruit_pct
Gala,3,CA,99.71193415637859
Gala,3,DCA,100.0
Gala,3,RA,99.8045267489712
Gala,6,CA,93.75
Gala,6,DCA,98.41269841269842
Gala,6,RA,96.22685185185186
Gala,9,CA,79.39578609221466
Gala,9,DCA,91.65542547895488
Gala,9,RA,71.04166666666667
Honeycrisp,3,CA,90.82304526604939
Honeycrisp,3,DCA,82.64970663867723
Honeycrisp,3,RA,90.36770869935422
Honeycrisp,6,CA,92.72081189814814
Honeycrisp,6,DCA,78.95272263146839
Honeycrisp,6,RA,84.26987050360083
Honeycrisp,9,CA,93.74064720906284
Honeycrisp,9,DCA,86.32273231770357
Honeycrisp,9,RA,73.11920979545499
