cultivar,interval_months,technology,implied_decay_pct
Gala,3,CA,0.2880658436214105
Gala,3,DCA,0.0
Gala,3,RA,0.1954732510288011
Gala,6,CA,6.25
Gala,6,DCA,1.5873015873015817
Gala,6,RA,3.773148148148138
Gala,9,CA,20.604213907785336
Gala,9,DCA,8.344574521045118
Gala,9,RA,28.95833333333333
Honeycrisp,3,CA,9.176954733950609
Honeycrisp,3,DCA,17.35029336132277
Honeycrisp,3,RA,9.632291300645775
Honeycrisp,6,CA,7.279188101851858
Honeycrisp,6,DCA,21.04727736853161
Honeycrisp,6,RA,15.730129496399172
Honeycrisp,9,CA,6.259352790937157
Honeycrisp,9,DCA,13.677267682296431
Honeycrisp,9,RA,26.880790204545008
