cultivar,orchard_id,year,technology,interval_months,n_reps,mean_marketable,sd_marketable
Gala,GA_O1,2022,CA,3,6,0.9913580246913579,0.009490928935201301
Gala,GA_O1,2022,CA,6,6,0.9791666666666666,0.034860834438919776
Gala,GA_O1,2022,CA,9,6,0.7513180272108843,0.2634207370781592
Gala,GA_O1,2022,DCA,3,6,1.0,0.0
Gala,GA_O1,2022,DCA,6,6,0.9523809523809524,0.08650429583135694
Gala,GA_O1,2022,DCA,9,6,0.8039215686274509,0.26218846510504756
Gala,GA_O1,2022,RA,3,6,0.9941358024691359,0.009103630372686794
Gala,GA_O1,2022,RA,6,6,0.9895833333333334,0.017430417219459874
Gala,GA_O1,2022,RA,9,6,0.6006944444444444,0.4471003543410046
Gala,GA_O1,2023,CA,3,6,1.0,0.0
Gala,GA_O1,2023,CA,6,6,0.9888888888888889,0.01360827634879545
Gala,GA_O1,2023,CA,9,6,0.9222222222222222,0.09289579984923772
Gala,GA_O1,2023,DCA,3,6,1.0,0.0
Gala,GA_O1,2023,DCA,6,6,1.0,0.0
Gala,GA_O1,2023,DCA,9,6,0.9684684684684685,0.049590482682965356
Gala,GA_O1,2023,RA,3,6,1.0,0.0
Gala,GA_O1,2023,RA,6,6,0.9944444444444445,0.013608276348795429
Gala,GA_O1,2023,RA,9,6,0.9500000000000001,0.06324555320336764
Gala,GA_O1,2024,CA,3,6,1.0,0.0
Gala,GA_O1,2024,CA,6,6,0.8444444444444444,0.17341878235668154
Gala,GA_O1,2024,CA,9,6,0.7083333333333334,0.2738105590042543
Gala,GA_O1,2024,DCA,3,6,1.0,0.0
Gala,GA_O1,2024,DCA,6,6,1.0,0.0
Gala,GA_O1,2024,DCA,9,6,0.9772727272727272,0.024896479886598433
Gala,GA_O1,2024,RA,3,6,1.0,0.0
Gala,GA_O1,2024,RA,6,6,0.9027777777777778,0.11757582265956751
Gala,GA_O1,2024,RA,9,6,0.5805555555555556,0.3099133690183376
Honeycrisp,HC_O1,2022,CA,3,6,0.8768518518518519,0.043662095698935956
Honeycrisp,HC_O1,2022,CA,6,6,1.0,0.0
Honeycrisp,HC_O1,2022,CA,9,6,0.9636363636363637,0.05749595745760689
Honeycrisp,HC_O1,2022,DCA,3,6,0.5905448717948717,0.22171055904514445
Honeycrisp,HC_O1,2022,DCA,6,6,0.760345846695592,0.20003272903003036
Honeycrisp,HC_O1,2022,DCA,9,6,0.5874384236453202,0.2507142361095938
Honeycrisp,HC_O1,2022,RA,3,6,0.9702106701094015,0.029829672230805935
Honeycrisp,HC_O1,2022,RA,6,6,0.9193095141666667,0.10253919519180135
Honeycrisp,HC_O1,2022,RA,9,6,0.9197530864197532,0.0912244602563514
Honeycrisp,HC_O1,2023,CA,3,6,1.0,0.0
Honeycrisp,HC_O1,2023,CA,6,6,0.9972222222222222,0.006804138174397704
Honeycrisp,HC_O1,2023,CA,9,6,1.0,0.0
Honeycrisp,HC_O1,2023,DCA,3,6,0.9814814814814815,0.02868876552746237
Honeycrisp,HC_O1,2023,DCA,6,6,0.9907407407407408,0.022680460581325737
Honeycrisp,HC_O1,2023,DCA,9,6,0.9907407407407408,0.022680460581325734
Honeycrisp,HC_O1,2023,RA,3,6,1.0,0.0
Honeycrisp,HC_O1,2023,RA,6,6,0.9972222222222222,0.006804138174397738
Honeycrisp,HC_O1,2023,RA,9,6,0.9953703703703703,0.0113402302906629
Honeycrisp,HC_O1,2024,CA,3,6,0.9722222222222222,0.02721655269759091
Honeycrisp,HC_O1,2024,CA,6,6,0.9333333333333332,0.02788866755113583
Honeycrisp,HC_O1,2024,CA,9,6,0.9888888888888889,0.017213259316477388
Honeycrisp,HC_O1,2024,DCA,3,6,1.0,0.0
Honeycrisp,HC_O1,2024,DCA,6,6,1.0,0.0
Honeycrisp,HC_O1,2024,DCA,9,6,0.9895833333333334,0.01613743060919756
Honeycrisp,HC_O1,2024,RA,3,6,0.9972222222222222,0.006804138174397738
Honeycrisp,HC_O1,2024,RA,6,6,0.8277777777777778,0.05235208439728779
Honeycrisp,HC_O1,2024,RA,9,6,0.5055555555555555,0.11287488977066931
Honeycrisp,HC_O2,2022,CA,3,6,0.8280864196666666,0.06687638481699752
Honeycrisp,HC_O2,2022,CA,6,6,0.8910264916666666,0.14363744300241357
Honeycrisp,HC_O2,2022,CA,9,6,0.8950617281666666,0.02242703974765079
Honeycrisp,HC_O2,2022,DCA,3,6,0.7966782672665026,0.07452923328001557
Honeycrisp,HC_O2,2022,DCA,6,6,0.7343406593406594,0.24552897285758052
Honeycrisp,HC_O2,2022,DCA,9,6,0.9055829228243021,0.09446596863647251
Honeycrisp,HC_O2,2022,RA,3,6,0.7296296296296295,0.04573736679714256
Honeycrisp,HC_O2,2022,RA,6,6,0.7507716049382717,0.26091841238995944
