cultivar,orchard_id,location,flag,month,diff_mean_PrDCAgtCA_flag1_minus_flag0,ci_low,ci_high
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,September,0.0033976,0.0026000000000000016,0.004199999999999999
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,October,-0.0028516499999999994,-0.0034000000000000002,-0.0023
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,November,-0.000400000000000001,-0.00040000000000000105,-0.00040000000000000105
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,December,0.18449554999999998,0.0020999999999999977,0.3658
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,January,0.18354599999999996,0.0010000000000000009,0.365
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,February,0.185149,0.0015999999999999973,0.3676
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,March,0.004887199999999985,-0.13230000000000003,0.14290000000000003
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,April,-0.0018130999999999716,-0.13909999999999995,0.13629999999999998
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,May,0.01381665000000003,-0.13019999999999998,0.1587
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,June,0.26425499999999996,0.0499,0.4799
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,July,0.26750215,0.052200000000000024,0.4841
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,August,0.2685676000000001,0.05840000000000001,0.48000000000000004
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,September,0.0028960999999999987,0.0015999999999999973,0.004199999999999999
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,October,-0.0005948999999999998,-0.0023,0.0011000000000000003
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,November,-0.00019939999999999964,-0.00040000000000000105,0.0
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,December,-0.18134870000000003,-0.3637,0.0020999999999999977
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,January,-0.1820475,-0.364,0.0010000000000000009
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,February,-0.18275139999999998,-0.366,0.0015999999999999973
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,March,0.20924845000000003,0.14290000000000003,0.27520000000000006
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,April,0.20605864999999993,0.13629999999999998,0.2753999999999999
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,May,0.22399529999999998,0.1587,0.2889
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,June,0.45487515,0.43,0.4799
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,July,0.4579217,0.43189999999999995,0.4841
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,August,0.45071240000000007,0.42160000000000003,0.48000000000000004
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,September,0.0005063000000000013,-0.0015999999999999973,0.0026000000000000016
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,October,-0.002253450000000001,-0.0034000000000000002,-0.0011000000000000003
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,November,-0.00020059999999999967,-0.00040000000000000105,0.0
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,December,0.36475314999999997,0.3637,0.3658
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,January,0.3645014999999999,0.364,0.365
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,February,0.3668023999999999,0.366,0.3676
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,March,-0.20353565,-0.27520000000000006,-0.13230000000000003
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,April,-0.20704554999999994,-0.2753999999999999,-0.13909999999999995
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,May,-0.20931194999999997,-0.2889,-0.13019999999999998
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,June,-0.18933015,-0.43,0.0499
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,July,-0.18912384999999995,-0.43189999999999995,0.052200000000000024
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,August,-0.18088,-0.42160000000000003,0.05840000000000001
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,September,0.0033976,0.0026000000000000016,0.004199999999999999
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,October,-0.0028516499999999994,-0.0034000000000000002,-0.0023
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,November,-0.000400000000000001,-0.00040000000000000105,-0.00040000000000000105
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,December,0.18449554999999998,0.0020999999999999977,0.3658
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,January,0.18354599999999996,0.0010000000000000009,0.365
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,February,0.185149,0.0015999999999999973,0.3676
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,March,0.004887199999999985,-0.13230000000000003,0.14290000000000003
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,April,-0.0018130999999999716,-0.13909999999999995,0.13629999999999998
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,May,0.01381665000000003,-0.13019999999999998,0.1587
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,June,0.26425499999999996,0.0499,0.4799
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,July,0.26750215,0.052200000000000024,0.4841
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,August,0.2685676000000001,0.05840000000000001,0.48000000000000004
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,September,0.0028960999999999987,0.0015999999999999973,0.004199999999999999
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,October,-0.0005948999999999998,-0.0023,0.0011000000000000003
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,November,-0.00019939999999999964,-0.00040000000000000105,0.0
