cultivar,orchard_id,location,flag,month,normal_pr,stress_pr,difference,n_normal,n_stress
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,September,0.0258,0.0292,0.0034000000000000002,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,October,0.0276,0.02475,-0.0028499999999999984,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,November,0.0268,0.0264,-0.00040000000000000105,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,December,0.0313,0.21525,0.18395,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,January,0.0336,0.21660000000000001,0.18300000000000002,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,February,0.0333,0.21789999999999998,0.1846,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,March,0.4263,0.4316,0.005299999999999971,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,April,0.4196,0.4182,-0.0013999999999999568,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,May,0.419,0.43325,0.01425000000000004,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,June,0.4343,0.6992,0.2649,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,July,0.4265,0.69465,0.26815,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,August,0.4299,0.6991,0.26920000000000005,1,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,September,0.0271,0.03,0.0029,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,October,0.0259,0.0253,-0.0005999999999999998,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,November,0.0266,0.0264,-0.0001999999999999988,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,December,0.2142,0.0334,-0.18080000000000002,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,January,0.21610000000000001,0.0346,-0.18150000000000002,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,February,0.2171,0.0349,-0.18219999999999997,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,March,0.36014999999999997,0.5692,0.20905000000000007,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,April,0.35005,0.5559,0.20584999999999998,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,May,0.3539,0.5777,0.2238,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,June,0.45925000000000005,0.9142,0.45494999999999997,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,July,0.4526,0.9106,0.45799999999999996,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,August,0.4591,0.9099,0.45080000000000003,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,September,0.0279,0.0284,0.0005000000000000004,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,October,0.02645,0.0242,-0.002250000000000002,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,November,0.0266,0.0264,-0.0001999999999999988,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,December,0.032350000000000004,0.3971,0.36475,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,January,0.0341,0.3986,0.3645,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,February,0.034100000000000005,0.4009,0.36679999999999996,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,March,0.49775,0.294,-0.20375000000000004,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,April,0.48774999999999996,0.2805,-0.20724999999999993,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,May,0.49834999999999996,0.2888,-0.20954999999999996,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,June,0.67425,0.4842,-0.19005,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,July,0.66855,0.4787,-0.18984999999999996,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,August,0.6699,0.4883,-0.18160000000000004,2,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,September,0.0258,0.0292,0.0034000000000000002,1,2
