cultivar,orchard_id,location,flag,month,normal_pr,stress_pr,difference,n_normal,n_stress
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,September,0.0266,0.0281,0.0015000000000000013,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,October,0.025599999999999998,0.0262,0.0006000000000000033,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,November,0.02555,0.0248,-0.0007500000000000007,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,December,0.36100000000000004,0.034,-0.32700000000000007,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,January,0.3539,0.0359,-0.318,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,February,0.36260000000000003,0.0343,-0.32830000000000004,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,March,0.5073,0.2413,-0.266,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,April,0.50725,0.2445,-0.26275,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,May,0.50795,0.2475,-0.26045,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,June,0.18384999999999999,0.0388,-0.14504999999999998,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,July,0.18239999999999998,0.0412,-0.1412,2,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,August,0.18560000000000001,0.0415,-0.1441,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,September,0.0269,0.027200000000000002,0.00030000000000000165,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,October,0.0272,0.0251,-0.0020999999999999977,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,November,0.0262,0.024849999999999997,-0.001350000000000004,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,December,0.6558,0.0501,-0.6057,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,January,0.6446,0.049550000000000004,-0.59505,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,February,0.6562,0.05165,-0.60455,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,March,1.0,0.12794999999999998,-0.87205,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,April,1.0,0.1295,-0.8705,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,May,1.0,0.1317,-0.8683,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,June,0.3399,0.033299999999999996,-0.3066,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,July,0.3374,0.0343,-0.3031,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_heat,August,0.3447,0.034,-0.3107,1,2
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,September,0.0266,0.0281,0.0015000000000000013,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,October,0.025599999999999998,0.0262,0.0006000000000000033,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,November,0.02555,0.0248,-0.0007500000000000007,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,December,0.36100000000000004,0.034,-0.32700000000000007,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,January,0.3539,0.0359,-0.318,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,February,0.36260000000000003,0.0343,-0.32830000000000004,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,March,0.5073,0.2413,-0.266,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,April,0.50725,0.2445,-0.26275,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,May,0.50795,0.2475,-0.26045,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,June,0.18384999999999999,0.0388,-0.14504999999999998,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,July,0.18239999999999998,0.0412,-0.1412,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_cold,August,0.18560000000000001,0.0415,-0.1441,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,September,0.0275,0.0263,-0.0011999999999999997,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,October,0.0267,0.024,-0.002700000000000001,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,November,0.025500000000000002,0.0249,-0.0006000000000000033,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,December,0.34490000000000004,0.0662,-0.27870000000000006,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,January,0.34025,0.0632,-0.27705,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,February,0.34525,0.069,-0.27625,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,March,0.62065,0.0146,-0.6060500000000001,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,April,0.62225,0.0145,-0.60775,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,May,0.62375,0.0159,-0.60785,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,June,0.18935,0.0278,-0.16155,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,July,0.1893,0.0274,-0.1619,2,1
Honeycrisp,HC_O1,Othello (Adams County),harvest_dry,August,0.1931,0.0265,-0.1666,2,1
Honeycrisp,HC_O1,Othello (Adams County),post_harvest_heat,September,0.0275,0.0263,-0.0011999999999999997,2,1
Honeycrisp,HC_O1,Othello (Adams County),post_harvest_heat,October,0.0267,0.024,-0.002700000000000001,2,1
Honeycrisp,HC_O1,Othello (Adams County),post_harvest_heat,November,0.025500000000000002,0.0249,-0.0006000000000000033,2,1
Honeycrisp,HC_O1,Othello (Adams County),post_harvest_heat,December,0.34490000000000004,0.0662,-0.27870000000000006,2,1
