cultivar,orchard_id,location,flag,flag_value,month,mean_PrDCAgtCA,N
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,September,0.0258,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,September,0.0292,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,October,0.0276,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,October,0.02475,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,November,0.0268,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,November,0.0264,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,December,0.0313,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,December,0.21525,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,January,0.0336,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,January,0.21660000000000001,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,February,0.0333,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,February,0.21789999999999998,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,March,0.4263,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,March,0.4316,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,April,0.4196,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,April,0.4182,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,May,0.419,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,May,0.43325,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,June,0.4343,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,June,0.6992,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,July,0.4265,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,July,0.69465,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,0,August,0.4299,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_heat,1,August,0.6991,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,September,0.0271,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,September,0.03,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,October,0.0259,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,October,0.0253,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,November,0.0266,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,November,0.0264,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,December,0.2142,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,December,0.0334,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,January,0.21610000000000001,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,January,0.0346,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,February,0.2171,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,February,0.0349,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,March,0.36014999999999997,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,March,0.5692,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,April,0.35005,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,April,0.5559,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,May,0.3539,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,May,0.5777,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,June,0.45925000000000005,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,June,0.9142,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,July,0.4526,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,July,0.9106,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,0,August,0.4591,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_cold,1,August,0.9099,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,September,0.0279,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,September,0.0284,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,October,0.02645,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,October,0.0242,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,November,0.0266,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,November,0.0264,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,December,0.032350000000000004,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,December,0.3971,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,January,0.0341,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,January,0.3986,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,February,0.034100000000000005,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,February,0.4009,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,March,0.49775,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,March,0.294,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,April,0.48774999999999996,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,April,0.2805,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,May,0.49834999999999996,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,May,0.2888,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,June,0.67425,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,June,0.4842,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,July,0.66855,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,July,0.4787,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,0,August,0.6699,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_dry,1,August,0.4883,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,September,0.0258,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,September,0.0292,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,October,0.0276,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,October,0.02475,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,November,0.0268,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,November,0.0264,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,December,0.0313,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,December,0.21525,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,January,0.0336,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,January,0.21660000000000001,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,February,0.0333,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,February,0.21789999999999998,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,March,0.4263,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,March,0.4316,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,April,0.4196,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,April,0.4182,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,May,0.419,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,May,0.43325,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,June,0.4343,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,June,0.6992,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,July,0.4265,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,July,0.69465,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,0,August,0.4299,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_wet,1,August,0.6991,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,0,September,0.0271,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,1,September,0.03,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,0,October,0.0259,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,1,October,0.0253,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,0,November,0.0266,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,1,November,0.0264,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,0,December,0.2142,2
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,1,December,0.0334,1
Gala,GA_O1,Quincy (Grant County),pre_harvest_humid,0,January,0.21610000000000001,2
