cultivar,orchard_id,location,flag,flag_value,month,mean_PrDCAgtCA,N
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,September,0.027100000000000003,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,October,0.0258,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,November,0.0253,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,December,0.252,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,January,0.24789999999999998,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,February,0.2531666666666667,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,March,0.41863333333333336,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,April,0.41966666666666663,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,May,0.42113333333333336,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,June,0.13549999999999998,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,July,0.13533333333333333,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_heat,1,August,0.13756666666666667,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,September,0.027100000000000003,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,October,0.0258,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,November,0.0253,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,December,0.252,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,January,0.24789999999999998,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,February,0.2531666666666667,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,March,0.41863333333333336,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,April,0.41966666666666663,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,May,0.42113333333333336,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,June,0.13549999999999998,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,July,0.13533333333333333,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_cold,1,August,0.13756666666666667,3
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,September,0.0266,2
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,1,September,0.0281,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,October,0.025599999999999998,2
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,1,October,0.0262,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,November,0.02555,2
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,1,November,0.0248,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,December,0.36100000000000004,2
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,1,December,0.034,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,January,0.3539,2
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,1,January,0.0359,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,February,0.36260000000000003,2
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,1,February,0.0343,1
Honeycrisp,HC_O1,Othello (Adams County),pre_harvest_dry,0,March,0.5073,2
